state_code,issuer_name,hios_issuer_ids,plan_county_rows
TX,"Sendero Health Plans, Local Nonprofit",71837,56
TX,UnitedHealthcare,40220 70754,3068
TX,WellPoint,47501,630
UT,BridgeSpan Health Company,34541,48
UT,"Imperial Health Plan of the Southwest, Inc.",98113,10
UT,Molina Healthcare,18167,16
UT,Regence BlueCross BlueShield of Utah,22013,128
UT,Select Health,68781,329
UT,University of Utah Health Plans,42261,168
WI,Anthem Blue Cross and Blue Shield,79475,477
WI,Aspirus Health Plan,86584,240
WI,CareSource (Common Ground Healthcare),87416,234
WI,Dean Health Plan,38345,261
WI,Group Health Cooperative-SCW,94529,39
WI,HealthPartners,20173,120
WI,Medica,57845,234
WI,MercyCare Health Plans,58326,12
WI,Network Health,81413,143
WI,Quartz,37833,228
WI,Security Health Plan,38166,494
WI,UnitedHealthcare,80180,169
WV,CareSource,50328,1210
WV,Highmark Blue Cross Blue Shield West Virginia,31274,825
WY,Blue Cross Blue Shield of Wyoming,11269,253
WY,UnitedHealthcare,49714,240
